city,month,zhvi,pred_pct_change,down_prob,actual_change,actual_dir,signal,score
Doylestown,2020-10-01,501569.3003978854,7.621040326013135,0.04664591089350578,8.757458143260322,1,STRONG BUY,2
Doylestown,2020-11-01,509663.6513334076,6.970150826320224,0.06202948194742086,8.852801732087269,1,STRONG BUY,2
Doylestown,2020-12-01,517755.23656444653,7.979179184089356,0.016057791280250644,8.872660539762588,1,STRONG BUY,2
Doylestown,2021-01-01,524648.2213198226,3.231495699240002,0.014342436114369361,8.586570588444275,1,STRONG BUY,2
Doylestown,2021-02-01,531092.0437434674,6.312316303649501,0.01775160505653295,7.768954800197081,1,STRONG BUY,2
Doylestown,2021-03-01,537666.3927435296,8.00580641568295,0.06119380346418868,6.4492413405215165,1,STRONG BUY,2
Doylestown,2021-04-01,545494.0219396738,6.707085164622833,0.09878989433555896,5.322905166342062,1,STRONG BUY,2
Doylestown,2021-05-01,554783.1638864707,6.462811266355187,0.4900639434445033,4.2123665017471,1,SELL,-1
Doylestown,2021-06-01,563693.9011316546,2.3104907814709494,0.5110527488404467,3.579631733606514,1,SELL,-1
Doylestown,2021-07-01,569697.5111844665,2.415234843852745,0.33711967866983616,3.777404461240419,1,BUY,1
Doylestown,2021-08-01,572352.3445693403,2.6554347638305473,0.26602426815800173,4.872777115295301,1,BUY,1
Doylestown,2021-09-01,572341.7960184361,3.595467589916446,0.19482043614639066,6.957059740980931,1,STRONG BUY,2
Doylestown,2021-10-01,574530.1514155879,4.017933681224391,0.10661339905377576,8.697319480667275,1,STRONG BUY,2
Doylestown,2021-11-01,578152.6640393571,3.375944982676195,0.21820245881790246,9.89141287491937,1,STRONG BUY,2
Doylestown,2021-12-01,583872.0668969678,3.3000790146301564,0.17735647007982325,10.164114393891822,1,STRONG BUY,2
Doylestown,2022-01-01,591217.2903875242,3.4118884336322988,0.12722110029549216,9.30580132089318,1,STRONG BUY,2
Kenner,2011-04-01,250650.5718446104,-0.530836440234298,0.9633587777226366,-2.7583669646277342,0,STRONG SELL,-2
Kenner,2011-05-01,249623.1094149482,-0.6119217249862575,0.9583100232215012,-3.014668553951283,0,STRONG SELL,-2
Kenner,2011-06-01,248884.7226845044,0.2570400420685773,0.9648224468621095,-3.5426049637083956,0,SELL,-1
Kenner,2011-07-01,248457.38629285325,-1.1399814618521968,0.8453964387810758,-3.6906016439562817,0,STRONG SELL,-2
Kenner,2011-08-01,246970.81723346637,-0.2807951569848261,0.9592104120964229,-3.468771396113124,0,SELL,-1
Kenner,2011-09-01,245714.6491046667,0.2749849266129459,0.9286933452806898,-3.551040282999829,0,SELL,-1
Kenner,2011-10-01,243736.70927419816,-0.12813846101981494,0.9499109782056226,-3.303745527164148,0,SELL,-1
Kenner,2011-11-01,242097.80003202037,2.41732455202409,0.8736068837464624,-3.078379684330512,0,SELL,-1
Kenner,2011-12-01,240067.72014477127,2.8852393465538198,0.7817282230266537,-2.3001350829182865,0,SELL,-1
Kenner,2012-01-01,239287.8139097984,6.055310444607689,0.12308078021293689,-2.2493454704138993,0,STRONG BUY,2
Kenner,2012-02-01,238403.96416852507,5.77159591525773,0.21265661890145704,-2.5318609422718574,0,STRONG BUY,2
Kenner,2012-03-01,236989.2229337283,7.365181781935471,0.08262180785122786,-2.973561339628672,0,STRONG BUY,2
Kenner,2012-04-01,235684.26864349475,6.368819889388182,0.10537650548146404,-3.3260953898912815,0,STRONG BUY,2
Kenner,2012-05-01,234645.1105396235,6.288060425089233,0.0840482873088374,-3.050171389191547,0,STRONG BUY,2
Kenner,2012-06-01,234545.8382909593,7.2014786573639435,0.058072447201808486,-2.7664163495869754,0,STRONG BUY,2
Kenner,2012-07-01,233905.4043063659,7.347044181513819,0.036983732932330815,-1.9929472892585287,0,STRONG BUY,2
Kenner,2012-08-01,232367.9073149144,6.146797961137483,0.021273966624970497,-1.3195313526990105,0,STRONG BUY,2
Kenner,2012-09-01,229942.20302148457,7.430033094794978,0.023927408665152194,-0.0146041678891428,0,STRONG BUY,2
Kenner,2012-10-01,227845.1850494445,7.87349553115641,0.00933888676781014,1.1510311610325452,1,STRONG BUY,2
Kenner,2012-11-01,227488.03251180705,9.160844510652574,0.027332710406336447,1.9401485111059549,1,STRONG BUY,2
Kenner,2012-12-01,228057.32387320235,9.792836939049884,0.05831820322165748,2.191922998522644,1,STRONG BUY,2
Kenner,2013-01-01,229243.79289181295,6.570219994137296,0.07565973282544713,2.1831525056407397,1,STRONG BUY,2
Kenner,2013-02-01,229301.73992428352,5.633625397391897,0.10630561242727332,2.3832369178893975,1,STRONG BUY,2
Kenner,2013-03-01,229908.6218761073,5.835653163536462,0.04803700170534553,1.988783454501486,1,STRONG BUY,2
Kenner,2013-04-01,230467.75412827585,6.3704058869797215,0.031080776828058543,1.3206827391869735,1,STRONG BUY,2
Kenner,2013-05-01,231901.63818752908,6.165140982649949,0.038006629169534345,0.2374750215650811,1,STRONG BUY,2
Kenner,2013-06-01,233056.16480499436,5.251922764709459,0.04618287185468384,-0.8927002193298006,0,STRONG BUY,2
Kenner,2013-07-01,234248.53450035647,6.884821026525654,0.06634485606261886,-2.3477878842074307,0,STRONG BUY,2
Kenner,2013-08-01,234766.5436435218,5.653726498993295,0.06397261611848248,-3.591560802458771,0,STRONG BUY,2
